S/No,CustomerID,FirstName,LastName,Gender,Email,City,Country,Region
35,C00035,First35,Last35,M,user35@example.com,Abuja,Nigeria,West Africa
36,C00036,First36,Last36,F,user36@example.com,London,UK,Europe
37,C00037,First37,Last37,M,user37@example.com,Kumasi,Ghana,West Africa
38,C00038,First38,Last38,F,user38@example.com,Nairobi,Kenya,East Africa
39,C00039,First39,Last39,M,user39@example.com,Abuja,Nigeria,West Africa
40,C00040,First40,Last40,F,user40@example.com,Abuja,Nigeria,West Africa
41,C00041,First41,Last41,M,user41@example.com,Manchester,UK,Europe
42,C00042,First42,Last42,F,user42@example.com,Accra,Ghana,West Africa
43,C00043,First43,Last43,M,user43@example.com,London,UK,Europe
44,C00044,First44,Last44,F,user44@example.com,Lagos,Nigeria,West Africa
45,C00045,First45,Last45,M,user45@example.com,London,UK,Europe
46,C00046,First46,Last46,F,user46@example.com,Johannesburg,South Africa,Southern Africa
47,C00047,First47,Last47,M,user47@example.com,Manchester,UK,Europe
48,C00048,First48,Last48,F,user48@example.com,Johannesburg,South Africa,Southern Africa
49,C00049,First49,Last49,M,user49@example.com,London,UK,Europe
50,C00050,First50,Last50,F,user50@example.com,Johannesburg,South Africa,Southern Africa
51,C00051,First51,Last51,M,user51@example.com,London,UK,Europe
52,C00052,First52,Last52,F,user52@example.com,Johannesburg,South Africa,Southern Africa
53,C00053,First53,Last53,M,user53@example.com,Johannesburg,South Africa,Southern Africa
54,C00054,First54,Last54,F,user54@example.com,London,UK,Europe
55,C00055,First55,Last55,M,user55@example.com,Manchester,UK,Europe
56,C00056,First56,Last56,F,user56@example.com,Johannesburg,South Africa,Southern Africa
57,C00057,First57,Last57,M,user57@example.com,Johannesburg,South Africa,Southern Africa
58,C00058,First58,Last58,F,user58@example.com,Ibadan,Nigeria,West Africa
59,C00059,First59,Last59,M,user59@example.com,Manchester,UK,Europe
60,C00060,First60,Last60,F,user60@example.com,Johannesburg,South Africa,Southern Africa
61,C00061,First61,Last61,M,user61@example.com,Accra,Ghana,West Africa
62,C00062,First62,Last62,F,user62@example.com,London,UK,Europe
63,C00063,First63,Last63,M,user63@example.com,Ibadan,Nigeria,West Africa
64,C00064,First64,Last64,F,user64@example.com,Nairobi,Kenya,East Africa
65,C00065,First65,Last65,M,user65@example.com,Lagos,Nigeria,West Africa
66,C00066,First66,Last66,F,user66@example.com,Abuja,Nigeria,West Africa
67,C00067,First67,Last67,M,user67@example.com,Abuja,Nigeria,West Africa
68,C00068,First68,Last68,F,user68@example.com,Kumasi,Ghana,West Africa
69,C00069,First69,Last69,M,user69@example.com,Ibadan,Nigeria,West Africa
70,C00070,First70,Last70,F,user70@example.com,Kumasi,Ghana,West Africa
71,C00071,First71,Last71,M,user71@example.com,Nairobi,Kenya,East Africa
72,C00072,First72,Last72,F,user72@example.com,Accra,Ghana,West Africa
73,C00073,First73,Last73,M,user73@example.com,Nairobi,Kenya,East Africa
74,C00074,First74,Last74,F,user74@example.com,Nairobi,Kenya,East Africa
75,C00075,First75,Last75,M,user75@example.com,Johannesburg,South Africa,Southern Africa
76,C00076,First76,Last76,F,user76@example.com,Johannesburg,South Africa,Southern Africa
77,C00077,First77,Last77,M,user77@example.com,Lagos,Nigeria,West Africa
78,C00078,First78,Last78,F,user78@example.com,Nairobi,Kenya,East Africa
79,C00079,First79,Last79,M,user79@example.com,Nairobi,Kenya,East Africa
80,C00080,First80,Last80,F,user80@example.com,Kumasi,Ghana,West Africa
81,C00081,First81,Last81,M,user81@example.com,Abuja,Nigeria,West Africa
82,C00082,First82,Last82,F,user82@example.com,London,UK,Europe
83,C00083,First83,Last83,M,user83@example.com,Manchester,UK,Europe
84,C00084,First84,Last84,F,user84@example.com,Lagos,Nigeria,West Africa
85,C00085,First85,Last85,M,user85@example.com,Abuja,Nigeria,West Africa
86,C00086,First86,Last86,F,user86@example.com,Accra,Ghana,West Africa
87,C00087,First87,Last87,M,user87@example.com,Kumasi,Ghana,West Africa
88,C00088,First88,Last88,F,user88@example.com,Manchester,UK,Europe
89,C00089,First89,Last89,M,user89@example.com,London,UK,Europe
90,C00090,First90,Last90,F,user90@example.com,Manchester,UK,Europe
91,C00091,First91,Last91,M,user91@example.com,Accra,Ghana,West Africa
92,C00092,First92,Last92,F,user92@example.com,Johannesburg,South Africa,Southern Africa
93,C00093,First93,Last93,M,user93@example.com,Johannesburg,South Africa,Southern Africa
94,C00094,First94,Last94,F,user94@example.com,Nairobi,Kenya,East Africa
95,C00095,First95,Last95,M,user95@example.com,Accra,Ghana,West Africa
96,C00096,First96,Last96,F,user96@example.com,Nairobi,Kenya,East Africa
97,C00097,First97,Last97,M,user97@example.com,Abuja,Nigeria,West Africa
98,C00098,First98,Last98,F,user98@example.com,Nairobi,Kenya,East Africa
99,C00099,First99,Last99,M,user99@example.com,Johannesburg,South Africa,Southern Africa
100,C00100,First100,Last100,F,user100@example.com,Accra,Ghana,West Africa
101,C00101,First101,Last101,M,user101@example.com,London,UK,Europe
102,C00102,First102,Last102,F,user102@example.com,London,UK,Europe
103,C00103,First103,Last103,M,user103@example.com,Manchester,UK,Europe
104,C00104,First104,Last104,F,user104@example.com,Accra,Ghana,West Africa
105,C00105,First105,Last105,M,user105@example.com,Johannesburg,South Africa,Southern Africa
106,C00106,First106,Last106,F,user106@example.com,Nairobi,Kenya,East Africa
107,C00107,First107,Last107,M,user107@example.com,Kumasi,Ghana,West Africa
108,C00108,First108,Last108,F,user108@example.com,London,UK,Europe
109,C00109,First109,Last109,M,user109@example.com,Johannesburg,South Africa,Southern Africa
110,C00110,First110,Last110,F,user110@example.com,Johannesburg,South Africa,Southern Africa
111,C00111,First111,Last111,M,user111@example.com,Manchester,UK,Europe
112,C00112,First112,Last112,F,user112@example.com,Abuja,Nigeria,West Africa
113,C00113,First113,Last113,M,user113@example.com,Manchester,UK,Europe
114,C00114,First114,Last114,F,user114@example.com,Nairobi,Kenya,East Africa
115,C00115,First115,Last115,M,user115@example.com,Accra,Ghana,West Africa
116,C00116,First116,Last116,F,user116@example.com,Nairobi,Kenya,East Africa
117,C00117,First117,Last117,M,user117@example.com,Nairobi,Kenya,East Africa
118,C00118,First118,Last118,F,user118@example.com,Kumasi,Ghana,West Africa
119,C00119,First119,Last119,M,user119@example.com,Abuja,Nigeria,West Africa
120,C00120,First120,Last120,F,user120@example.com,Manchester,UK,Europe
121,C00121,First121,Last121,M,user121@example.com,Manchester,UK,Europe
122,C00122,First122,Last122,F,user122@example.com,London,UK,Europe
123,C00123,First123,Last123,M,user123@example.com,Ibadan,Nigeria,West Africa
124,C00124,First124,Last124,F,user124@example.com,Lagos,Nigeria,West Africa
125,C00125,First125,Last125,M,user125@example.com,Accra,Ghana,West Africa
126,C00126,First126,Last126,F,user126@example.com,Accra,Ghana,West Africa
127,C00127,First127,Last127,M,user127@example.com,Nairobi,Kenya,East Africa
128,C00128,First128,Last128,F,user128@example.com,Manchester,UK,Europe
129,C00129,First129,Last129,M,user129@example.com,Nairobi,Kenya,East Africa
130,C00130,First130,Last130,F,user130@example.com,Nairobi,Kenya,East Africa
131,C00131,First131,Last131,M,user131@example.com,Nairobi,Kenya,East Africa
132,C00132,First132,Last132,F,user132@example.com,Manchester,UK,Europe
133,C00133,First133,Last133,M,user133@example.com,Accra,Ghana,West Africa
134,C00134,First134,Last134,F,user134@example.com,Nairobi,Kenya,East Africa
135,C00135,First135,Last135,M,user135@example.com,Johannesburg,South Africa,Southern Africa
136,C00136,First136,Last136,F,user136@example.com,Johannesburg,South Africa,Southern Africa
137,C00137,First137,Last137,M,user137@example.com,Kumasi,Ghana,West Africa
138,C00138,First138,Last138,F,user138@example.com,Ibadan,Nigeria,West Africa
139,C00139,First139,Last139,M,user139@example.com,Manchester,UK,Europe
140,C00140,First140,Last140,F,user140@example.com,Ibadan,Nigeria,West Africa
141,C00141,First141,Last141,M,user141@example.com,London,UK,Europe
142,C00142,First142,Last142,F,user142@example.com,London,UK,Europe
143,C00143,First143,Last143,M,user143@example.com,Nairobi,Kenya,East Africa
144,C00144,First144,Last144,F,user144@example.com,Nairobi,Kenya,East Africa
145,C00145,First145,Last145,M,user145@example.com,Johannesburg,South Africa,Southern Africa
146,C00146,First146,Last146,F,user146@example.com,Lagos,Nigeria,West Africa
147,C00147,First147,Last147,M,user147@example.com,Nairobi,Kenya,East Africa
148,C00148,First148,Last148,F,user148@example.com,London,UK,Europe
149,C00149,First149,Last149,M,user149@example.com,Abuja,Nigeria,West Africa
150,C00150,First150,Last150,F,user150@example.com,Lagos,Nigeria,West Africa
151,C00151,First151,Last151,M,user151@example.com,Accra,Ghana,West Africa
152,C00152,First152,Last152,F,user152@example.com,Manchester,UK,Europe
153,C00153,First153,Last153,M,user153@example.com,Accra,Ghana,West Africa
154,C00154,First154,Last154,F,user154@example.com,Johannesburg,South Africa,Southern Africa
155,C00155,First155,Last155,M,user155@example.com,Accra,Ghana,West Africa
156,C00156,First156,Last156,F,user156@example.com,Abuja,Nigeria,West Africa
157,C00157,First157,Last157,M,user157@example.com,Johannesburg,South Africa,Southern Africa
158,C00158,First158,Last158,F,user158@example.com,Manchester,UK,Europe
159,C00159,First159,Last159,M,user159@example.com,Johannesburg,South Africa,Southern Africa
160,C00160,First160,Last160,F,user160@example.com,Lagos,Nigeria,West Africa
161,C00161,First161,Last161,M,user161@example.com,Nairobi,Kenya,East Africa
162,C00162,First162,Last162,F,user162@example.com,Lagos,Nigeria,West Africa
163,C00163,First163,Last163,M,user163@example.com,Nairobi,Kenya,East Africa
164,C00164,First164,Last164,F,user164@example.com,Johannesburg,South Africa,Southern Africa
165,C00165,First165,Last165,M,user165@example.com,Nairobi,Kenya,East Africa
166,C00166,First166,Last166,F,user166@example.com,Lagos,Nigeria,West Africa
167,C00167,First167,Last167,M,user167@example.com,Nairobi,Kenya,East Africa
168,C00168,First168,Last168,F,user168@example.com,Abuja,Nigeria,West Africa
169,C00169,First169,Last169,M,user169@example.com,Kumasi,Ghana,West Africa
170,C00170,First170,Last170,F,user170@example.com,Nairobi,Kenya,East Africa
171,C00171,First171,Last171,M,user171@example.com,Accra,Ghana,West Africa
172,C00172,First172,Last172,F,user172@example.com,Nairobi,Kenya,East Africa
173,C00173,First173,Last173,M,user173@example.com,Kumasi,Ghana,West Africa
174,C00174,First174,Last174,F,user174@example.com,Abuja,Nigeria,West Africa
175,C00175,First175,Last175,M,user175@example.com,Abuja,Nigeria,West Africa
176,C00176,First176,Last176,F,user176@example.com,Ibadan,Nigeria,West Africa
177,C00177,First177,Last177,M,user177@example.com,Manchester,UK,Europe
178,C00178,First178,Last178,F,user178@example.com,Kumasi,Ghana,West Africa
179,C00179,First179,Last179,M,user179@example.com,Nairobi,Kenya,East Africa
180,C00180,First180,Last180,F,user180@example.com,Nairobi,Kenya,East Africa
181,C00181,First181,Last181,M,user181@example.com,Nairobi,Kenya,East Africa
182,C00182,First182,Last182,F,user182@example.com,Kumasi,Ghana,West Africa
183,C00183,First183,Last183,M,user183@example.com,Ibadan,Nigeria,West Africa
184,C00184,First184,Last184,F,user184@example.com,London,UK,Europe
185,C00185,First185,Last185,M,user185@example.com,Accra,Ghana,West Africa
186,C00186,First186,Last186,F,user186@example.com,Lagos,Nigeria,West Africa
187,C00187,First187,Last187,M,user187@example.com,Johannesburg,South Africa,Southern Africa
188,C00188,First188,Last188,F,user188@example.com,Nairobi,Kenya,East Africa
189,C00189,First189,Last189,M,user189@example.com,Lagos,Nigeria,West Africa
190,C00190,First190,Last190,F,user190@example.com,Abuja,Nigeria,West Africa
191,C00191,First191,Last191,M,user191@example.com,Nairobi,Kenya,East Africa
192,C00192,First192,Last192,F,user192@example.com,Johannesburg,South Africa,Southern Africa
193,C00193,First193,Last193,M,user193@example.com,Ibadan,Nigeria,West Africa
194,C00194,First194,Last194,F,user194@example.com,Nairobi,Kenya,East Africa
195,C00195,First195,Last195,M,user195@example.com,London,UK,Europe
196,C00196,First196,Last196,F,user196@example.com,Accra,Ghana,West Africa
197,C00197,First197,Last197,M,user197@example.com,Kumasi,Ghana,West Africa
198,C00198,First198,Last198,F,user198@example.com,Nairobi,Kenya,East Africa
199,C00199,First199,Last199,M,user199@example.com,Manchester,UK,Europe
200,C00200,First200,Last200,F,user200@example.com,Accra,Ghana,West Africa
201,C00201,First201,Last201,M,user201@example.com,Accra,Ghana,West Africa
202,C00202,First202,Last202,F,user202@example.com,Nairobi,Kenya,East Africa
203,C00203,First203,Last203,M,user203@example.com,Kumasi,Ghana,West Africa
204,C00204,First204,Last204,F,user204@example.com,Johannesburg,South Africa,Southern Africa
205,C00205,First205,Last205,M,user205@example.com,Ibadan,Nigeria,West Africa
206,C00206,First206,Last206,F,user206@example.com,Kumasi,Ghana,West Africa
207,C00207,First207,Last207,M,user207@example.com,Ibadan,Nigeria,West Africa
208,C00208,First208,Last208,F,user208@example.com,Johannesburg,South Africa,Southern Africa
209,C00209,First209,Last209,M,user209@example.com,Manchester,UK,Europe
210,C00210,First210,Last210,F,user210@example.com,Manchester,UK,Europe
211,C00211,First211,Last211,M,user211@example.com,Manchester,UK,Europe
212,C00212,First212,Last212,F,user212@example.com,Abuja,Nigeria,West Africa
213,C00213,First213,Last213,M,user213@example.com,Nairobi,Kenya,East Africa
214,C00214,First214,Last214,F,user214@example.com,Nairobi,Kenya,East Africa
215,C00215,First215,Last215,M,user215@example.com,Ibadan,Nigeria,West Africa
216,C00216,First216,Last216,F,user216@example.com,Johannesburg,South Africa,Southern Africa
217,C00217,First217,Last217,M,user217@example.com,Ibadan,Nigeria,West Africa
218,C00218,First218,Last218,F,user218@example.com,Nairobi,Kenya,East Africa
219,C00219,First219,Last219,M,user219@example.com,London,UK,Europe
220,C00220,First220,Last220,F,user220@example.com,Kumasi,Ghana,West Africa
221,C00221,First221,Last221,M,user221@example.com,Nairobi,Kenya,East Africa
222,C00222,First222,Last222,F,user222@example.com,Manchester,UK,Europe
223,C00223,First223,Last223,M,user223@example.com,Accra,Ghana,West Africa
224,C00224,First224,Last224,F,user224@example.com,Kumasi,Ghana,West Africa
225,C00225,First225,Last225,M,user225@example.com,Lagos,Nigeria,West Africa
226,C00226,First226,Last226,F,user226@example.com,Manchester,UK,Europe
227,C00227,First227,Last227,M,user227@example.com,Manchester,UK,Europe
228,C00228,First228,Last228,F,user228@example.com,Accra,Ghana,West Africa
229,C00229,First229,Last229,M,user229@example.com,Nairobi,Kenya,East Africa
230,C00230,First230,Last230,F,user230@example.com,Johannesburg,South Africa,Southern Africa
231,C00231,First231,Last231,M,user231@example.com,Johannesburg,South Africa,Southern Africa
232,C00232,First232,Last232,F,user232@example.com,Manchester,UK,Europe
233,C00233,First233,Last233,M,user233@example.com,Accra,Ghana,West Africa
234,C00234,First234,Last234,F,user234@example.com,Ibadan,Nigeria,West Africa
235,C00235,First235,Last235,M,user235@example.com,Nairobi,Kenya,East Africa
236,C00236,First236,Last236,F,user236@example.com,London,UK,Europe
237,C00237,First237,Last237,M,user237@example.com,Nairobi,Kenya,East Africa
238,C00238,First238,Last238,F,user238@example.com,Nairobi,Kenya,East Africa
239,C00239,First239,Last239,M,user239@example.com,Kumasi,Ghana,West Africa
240,C00240,First240,Last240,F,user240@example.com,London,UK,Europe
241,C00241,First241,Last241,M,user241@example.com,Ibadan,Nigeria,West Africa
242,C00242,First242,Last242,F,user242@example.com,Manchester,UK,Europe
243,C00243,First243,Last243,M,user243@example.com,Accra,Ghana,West Africa
244,C00244,First244,Last244,F,user244@example.com,Nairobi,Kenya,East Africa
245,C00245,First245,Last245,M,user245@example.com,Accra,Ghana,West Africa
246,C00246,First246,Last246,F,user246@example.com,Johannesburg,South Africa,Southern Africa
247,C00247,First247,Last247,M,user247@example.com,Nairobi,Kenya,East Africa
248,C00248,First248,Last248,F,user248@example.com,London,UK,Europe
249,C00249,First249,Last249,M,user249@example.com,London,UK,Europe
250,C00250,First250,Last250,F,user250@example.com,London,UK,Europe
251,C00251,First251,Last251,M,user251@example.com,Nairobi,Kenya,East Africa
252,C00252,First252,Last252,F,user252@example.com,Nairobi,Kenya,East Africa
253,C00253,First253,Last253,M,user253@example.com,Accra,Ghana,West Africa
254,C00254,First254,Last254,F,user254@example.com,Johannesburg,South Africa,Southern Africa
255,C00255,First255,Last255,M,user255@example.com,Johannesburg,South Africa,Southern Africa
256,C00256,First256,Last256,F,user256@example.com,Johannesburg,South Africa,Southern Africa
257,C00257,First257,Last257,M,user257@example.com,Nairobi,Kenya,East Africa
258,C00258,First258,Last258,F,user258@example.com,Kumasi,Ghana,West Africa
259,C00259,First259,Last259,M,user259@example.com,Accra,Ghana,West Africa
260,C00260,First260,Last260,F,user260@example.com,Johannesburg,South Africa,Southern Africa
261,C00261,First261,Last261,M,user261@example.com,Ibadan,Nigeria,West Africa
262,C00262,First262,Last262,F,user262@example.com,Nairobi,Kenya,East Africa
263,C00263,First263,Last263,M,user263@example.com,Kumasi,Ghana,West Africa
264,C00264,First264,Last264,F,user264@example.com,London,UK,Europe
265,C00265,First265,Last265,M,user265@example.com,Kumasi,Ghana,West Africa
266,C00266,First266,Last266,F,user266@example.com,London,UK,Europe
267,C00267,First267,Last267,M,user267@example.com,Ibadan,Nigeria,West Africa
268,C00268,First268,Last268,F,user268@example.com,London,UK,Europe
269,C00269,First269,Last269,M,user269@example.com,Nairobi,Kenya,East Africa
270,C00270,First270,Last270,F,user270@example.com,Kumasi,Ghana,West Africa
271,C00271,First271,Last271,M,user271@example.com,Accra,Ghana,West Africa
272,C00272,First272,Last272,F,user272@example.com,Nairobi,Kenya,East Africa
273,C00273,First273,Last273,M,user273@example.com,Manchester,UK,Europe
274,C00274,First274,Last274,F,user274@example.com,Johannesburg,South Africa,Southern Africa
275,C00275,First275,Last275,M,user275@example.com,Manchester,UK,Europe
276,C00276,First276,Last276,F,user276@example.com,Johannesburg,South Africa,Southern Africa
277,C00277,First277,Last277,M,user277@example.com,Lagos,Nigeria,West Africa
278,C00278,First278,Last278,F,user278@example.com,Manchester,UK,Europe
279,C00279,First279,Last279,M,user279@example.com,Kumasi,Ghana,West Africa
280,C00280,First280,Last280,F,user280@example.com,Lagos,Nigeria,West Africa
281,C00281,First281,Last281,M,user281@example.com,Ibadan,Nigeria,West Africa
282,C00282,First282,Last282,F,user282@example.com,Ibadan,Nigeria,West Africa
283,C00283,First283,Last283,M,user283@example.com,Nairobi,Kenya,East Africa
284,C00284,First284,Last284,F,user284@example.com,Ibadan,Nigeria,West Africa
285,C00285,First285,Last285,M,user285@example.com,Nairobi,Kenya,East Africa
286,C00286,First286,Last286,F,user286@example.com,Johannesburg,South Africa,Southern Africa
287,C00287,First287,Last287,M,user287@example.com,Manchester,UK,Europe
288,C00288,First288,Last288,F,user288@example.com,Lagos,Nigeria,West Africa
289,C00289,First289,Last289,M,user289@example.com,Johannesburg,South Africa,Southern Africa
290,C00290,First290,Last290,F,user290@example.com,Nairobi,Kenya,East Africa
291,C00291,First291,Last291,M,user291@example.com,Manchester,UK,Europe
292,C00292,First292,Last292,F,user292@example.com,Nairobi,Kenya,East Africa
293,C00293,First293,Last293,M,user293@example.com,Ibadan,Nigeria,West Africa
294,C00294,First294,Last294,F,user294@example.com,Johannesburg,South Africa,Southern Africa
295,C00295,First295,Last295,M,user295@example.com,Accra,Ghana,West Africa
296,C00296,First296,Last296,F,user296@example.com,Nairobi,Kenya,East Africa
297,C00297,First297,Last297,M,user297@example.com,Johannesburg,South Africa,Southern Africa
298,C00298,First298,Last298,F,user298@example.com,Nairobi,Kenya,East Africa
299,C00299,First299,Last299,M,user299@example.com,Johannesburg,South Africa,Southern Africa
300,C00300,First300,Last300,F,user300@example.com,Nairobi,Kenya,East Africa
301,C00301,First301,Last301,M,user301@example.com,Johannesburg,South Africa,Southern Africa
302,C00302,First302,Last302,F,user302@example.com,Johannesburg,South Africa,Southern Africa
303,C00303,First303,Last303,M,user303@example.com,London,UK,Europe
304,C00304,First304,Last304,F,user304@example.com,Johannesburg,South Africa,Southern Africa
305,C00305,First305,Last305,M,user305@example.com,Nairobi,Kenya,East Africa
306,C00306,First306,Last306,F,user306@example.com,Johannesburg,South Africa,Southern Africa
307,C00307,First307,Last307,M,user307@example.com,Johannesburg,South Africa,Southern Africa
308,C00308,First308,Last308,F,user308@example.com,Accra,Ghana,West Africa
309,C00309,First309,Last309,M,user309@example.com,London,UK,Europe
310,C00310,First310,Last310,F,user310@example.com,Nairobi,Kenya,East Africa
311,C00311,First311,Last311,M,user311@example.com,Johannesburg,South Africa,Southern Africa
312,C00312,First312,Last312,F,user312@example.com,Kumasi,Ghana,West Africa
313,C00313,First313,Last313,M,user313@example.com,Nairobi,Kenya,East Africa
314,C00314,First314,Last314,F,user314@example.com,Kumasi,Ghana,West Africa
315,C00315,First315,Last315,M,user315@example.com,London,UK,Europe
316,C00316,First316,Last316,F,user316@example.com,Nairobi,Kenya,East Africa
317,C00317,First317,Last317,M,user317@example.com,Manchester,UK,Europe
318,C00318,First318,Last318,F,user318@example.com,Abuja,Nigeria,West Africa
319,C00319,First319,Last319,M,user319@example.com,Ibadan,Nigeria,West Africa
320,C00320,First320,Last320,F,user320@example.com,Johannesburg,South Africa,Southern Africa
321,C00321,First321,Last321,M,user321@example.com,Accra,Ghana,West Africa
322,C00322,First322,Last322,F,user322@example.com,Abuja,Nigeria,West Africa
323,C00323,First323,Last323,M,user323@example.com,Nairobi,Kenya,East Africa
324,C00324,First324,Last324,F,user324@example.com,Accra,Ghana,West Africa
325,C00325,First325,Last325,M,user325@example.com,Kumasi,Ghana,West Africa
326,C00326,First326,Last326,F,user326@example.com,Nairobi,Kenya,East Africa
327,C00327,First327,Last327,M,user327@example.com,Ibadan,Nigeria,West Africa
328,C00328,First328,Last328,F,user328@example.com,Manchester,UK,Europe
329,C00329,First329,Last329,M,user329@example.com,Johannesburg,South Africa,Southern Africa
330,C00330,First330,Last330,F,user330@example.com,Kumasi,Ghana,West Africa
331,C00331,First331,Last331,M,user331@example.com,Manchester,UK,Europe
332,C00332,First332,Last332,F,user332@example.com,Nairobi,Kenya,East Africa
333,C00333,First333,Last333,M,user333@example.com,Johannesburg,South Africa,Southern Africa
334,C00334,First334,Last334,F,user334@example.com,Kumasi,Ghana,West Africa
335,C00335,First335,Last335,M,user335@example.com,Nairobi,Kenya,East Africa
336,C00336,First336,Last336,F,user336@example.com,Kumasi,Ghana,West Africa
337,C00337,First337,Last337,M,user337@example.com,London,UK,Europe
338,C00338,First338,Last338,F,user338@example.com,Ibadan,Nigeria,West Africa
339,C00339,First339,Last339,M,user339@example.com,Johannesburg,South Africa,Southern Africa
340,C00340,First340,Last340,F,user340@example.com,Johannesburg,South Africa,Southern Africa
341,C00341,First341,Last341,M,user341@example.com,Nairobi,Kenya,East Africa
342,C00342,First342,Last342,F,user342@example.com,Ibadan,Nigeria,West Africa
343,C00343,First343,Last343,M,user343@example.com,Kumasi,Ghana,West Africa
344,C00344,First344,Last344,F,user344@example.com,London,UK,Europe
345,C00345,First345,Last345,M,user345@example.com,Manchester,UK,Europe
346,C00346,First346,Last346,F,user346@example.com,Johannesburg,South Africa,Southern Africa
347,C00347,First347,Last347,M,user347@example.com,Accra,Ghana,West Africa
348,C00348,First348,Last348,F,user348@example.com,Johannesburg,South Africa,Southern Africa
349,C00349,First349,Last349,M,user349@example.com,Nairobi,Kenya,East Africa
350,C00350,First350,Last350,F,user350@example.com,Accra,Ghana,West Africa
351,C00351,First351,Last351,M,user351@example.com,Kumasi,Ghana,West Africa
352,C00352,First352,Last352,F,user352@example.com,Lagos,Nigeria,West Africa
353,C00353,First353,Last353,M,user353@example.com,Kumasi,Ghana,West Africa
354,C00354,First354,Last354,F,user354@example.com,Nairobi,Kenya,East Africa
355,C00355,First355,Last355,M,user355@example.com,Lagos,Nigeria,West Africa
356,C00356,First356,Last356,F,user356@example.com,Lagos,Nigeria,West Africa
357,C00357,First357,Last357,M,user357@example.com,London,UK,Europe
358,C00358,First358,Last358,F,user358@example.com,Accra,Ghana,West Africa
359,C00359,First359,Last359,M,user359@example.com,Johannesburg,South Africa,Southern Africa
360,C00360,First360,Last360,F,user360@example.com,Nairobi,Kenya,East Africa
361,C00361,First361,Last361,M,user361@example.com,Ibadan,Nigeria,West Africa
362,C00362,First362,Last362,F,user362@example.com,Accra,Ghana,West Africa
363,C00363,First363,Last363,M,user363@example.com,Kumasi,Ghana,West Africa
364,C00364,First364,Last364,F,user364@example.com,Kumasi,Ghana,West Africa
365,C00365,First365,Last365,M,user365@example.com,Johannesburg,South Africa,Southern Africa
366,C00366,First366,Last366,F,user366@example.com,Accra,Ghana,West Africa
367,C00367,First367,Last367,M,user367@example.com,Kumasi,Ghana,West Africa
368,C00368,First368,Last368,F,user368@example.com,Johannesburg,South Africa,Southern Africa
369,C00369,First369,Last369,M,user369@example.com,Kumasi,Ghana,West Africa
370,C00370,First370,Last370,F,user370@example.com,Nairobi,Kenya,East Africa
371,C00371,First371,Last371,M,user371@example.com,Johannesburg,South Africa,Southern Africa
372,C00372,First372,Last372,F,user372@example.com,Accra,Ghana,West Africa
373,C00373,First373,Last373,M,user373@example.com,Lagos,Nigeria,West Africa
